YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202406,191894,1182255,6,4.23,"WNW","MT VERNON",43.7475,-98.3257,4344850,9819542
202406,191894,1182259,1,7.34,"NE","CLAYTON",43.5,-97.56,4330000,9733600
202406,191894,1182259,2,8.53,"NE","CLAYTON",43.5,-97.53,4330000,9731800
202406,191894,1182259,3,5.52,"E","CLAYTON",43.43,-97.56,4325800,9733600
202406,191894,1182259,4,3.15,"NNE","WOLF CREEK",43.39,-97.59,4323400,9735400
202406,191894,1182259,5,1.22,"SE","WOLF CREEK",43.34,-97.6,4320400,9736000
202406,191894,1182259,6,1.22,"NW","WOLF CREEK",43.36,-97.64,4321600,9738400
202406,191894,1182260,1,10.66,"NNE","WOONSOCKET",44.2,-98.22,4412000,9813200
202406,191894,1182260,2,12.44,"N","FORESTBURG",44.2,-98.1,4412000,986000
202406,191894,1182260,3,3.97,"E","FORESTBURG",44.02,-98.02,441200,981200
202406,191894,1182260,4,6.28,"NNW","FARWELL",43.93,-97.98,4355800,9758800
202406,191894,1182260,5,2.13,"NNE","LETCHER",43.93,-98.12,4355800,987200
202406,191894,1182260,6,5.68,"NNW","FORESTBURG",44.09,-98.16,445400,989600
202406,191894,1182262,1,2.13,"NNE","LETCHER",43.93,-98.12,4355800,987200
202406,191894,1182262,2,6.28,"NNW","FARWELL",43.93,-97.98,4355800,9758800
202406,191894,1182262,3,1.45,"W","FARWELL",43.8506,-97.949,4351036,9756940
202406,191894,1182262,4,3.88,"SSE","LETCHER",43.851,-98.0918,4351060,985508
202406,191894,1182263,1,5.55,"N","(MHE)MITCHELL ARPT",43.85,-98.04,4351000,982400
202406,191894,1182263,2,6.29,"NNE","(MHE)MITCHELL ARPT",43.85,-97.97,4351000,9758200
202406,191894,1182263,3,3.25,"SE","MITCHELL",43.69,-97.97,4341400,9758200
202406,191894,1182263,4,.5,"W","(MHE)MITCHELL ARPT",43.77,-98.04,4346200,982400
202406,191894,1182265,1,4.22,"NW","PLANO",43.8506,-97.9673,4351036,9758038
202406,191894,1182265,2,3.78,"NNW","PLANO",43.8506,-97.949,4351036,9756940
202406,191894,1182265,3,3.3,"ESE","RIVERSIDE",43.7,-97.89,4342000,9753400
202406,191894,1182265,4,6.93,"SE","ROCKPORT",43.5,-97.7166,4330000,9742996
202406,191894,1182265,5,9.5,"SW","ROCKPORT",43.499,-97.9532,4329940,9757192
202406,191894,1182265,6,8.35,"W","ROCKPORT",43.5607,-97.9647,4333642,9757882
202406,191894,1182273,1,3.15,"SSE","MILLTOWN",43.38,-97.77,4322800,9746200
202406,191894,1182273,2,2.89,"SE","CLAYTON",43.4,-97.63,4324000,9737800
202406,191894,1182273,3,2.05,"SE","MENNO",43.21,-97.55,4312600,9733000
202406,191894,1182273,4,6.19,"SE","MENNO",43.169,-97.49,4310140,9729400
202406,191894,1182273,5,4.23,"S","OLIVET",43.1691,-97.688,4310146,9741280
202406,191894,1182275,1,2.49,"ENE","SCOTLAND",43.1691,-97.688,4310146,9741280
202406,191894,1182275,2,4.84,"ENE","SCOTLAND",43.1687,-97.6375,4310122,9738250
202406,191894,1182275,3,4.68,"E","SCOTLAND",43.1451,-97.6374,438706,9738244
202406,191894,1182275,4,3.68,"E","SCOTLAND",43.1567,-97.6575,439402,9739450
202406,191894,1182276,1,9.25,"WNW","JAMESVILLE",43.1687,-97.6375,4310122,9738250
202406,191894,1182276,2,4.79,"N","JAMESVILLE",43.169,-97.49,4310140,9729400
202406,191894,1182276,3,2.02,"W","MAYFIELD",43.08,-97.36,434800,9721600
202406,191894,1182276,4,1.71,"SW","JAMESVILLE",43.08,-97.5,434800,9730000
202406,191894,1182276,5,8.17,"NNW","LESTERVILLE",43.1451,-97.6374,438706,9738244
202406,191894,1182280,1,1.71,"SW","JAMESVILLE",43.08,-97.5,434800,9730000
202406,191894,1182280,2,2.02,"W","MAYFIELD",43.08,-97.36,434800,9721600
202406,191894,1182280,3,2.14,"WNW","VALLEY VIEW",42.98,-97.31,4258800,9718600
202406,191894,1182280,4,2.62,"WSW","GAYVILLE",42.87,-97.22,4252200,9713200
202406,191894,1182280,5,.51,"E","YANKTON",42.87,-97.37,4252200,9722200
202406,191894,1182280,6,3.54,"E","UTICA",42.98,-97.41,4258800,9724600
202406,191894,1182725,1,4.01,"E","DOLTON",43.5,-97.3,4330000,9718000
202406,191894,1182725,2,2.13,"SSE","MONROE",43.45,-97.21,4327000,9712600
202406,191894,1182725,3,2.86,"ENE","PARKER",43.42,-97.08,4325200,974800
202406,191894,1182725,4,4.08,"W","CHANCELLOR",43.36,-97.06,4321600,973600
202406,191894,1182725,5,2.44,"SW","PARKER",43.38,-97.17,4322800,9710200
202406,191894,1182725,6,3.65,"NW","MARION",43.45,-97.33,4327000,9719800
202406,191894,1182727,1,5.48,"E","CENTER",43.83,-97.24,4349800,9714400
202406,191894,1182727,2,6.98,"E","CENTER",43.83,-97.21,4349800,9712600
202406,191894,1182727,3,2.13,"NNE","MONTROSE",43.73,-97.17,4343800,9710200
202406,191894,1182727,4,.85,"SE","MONTROSE",43.69,-97.17,4341400,9710200
202406,191894,1182727,5,.85,"SW","MONTROSE",43.69,-97.19,4341400,9711400
202406,191894,1182727,6,1.71,"NW","MONTROSE",43.72,-97.2,4343200,9712000
202406,191894,1182728,1,1.21,"SW","MONTROSE",43.69,-97.2,4341400,9712000
202406,191894,1182728,2,1.21,"SE","MONTROSE",43.69,-97.16,4341400,979600
202406,191894,1182728,3,3.14,"SSE","MONTROSE",43.66,-97.15,4339600,979000
202406,191894,1182728,4,5.73,"SSE","MONTROSE",43.62,-97.15,4337200,979000
202406,191894,1182728,5,5.55,"S","MONTROSE",43.62,-97.19,4337200,9711400
202406,191894,1182730,1,1.65,"NNE","MONROE",43.5,-97.202,4330000,9712120
202406,191894,1182730,2,4.74,"ENE","MONROE",43.5,-97.1295,4330000,977770
202406,191894,1182730,3,5.06,"E","MONROE",43.49,-97.12,4329400,977200
202406,191894,1182730,4,3.66,"NW","CHANCELLOR",43.4,-97.04,4324000,972400
202406,191894,1182730,5,1.51,"E","PARKER",43.4,-97.1,4324000,976000
202406,191894,1182730,6,1.22,"NE","MONROE",43.49,-97.2,4329400,9712000
202406,191894,1182731,1,2.44,"SE","PARKER",43.38,-97.09,4322800,975400
202406,191894,1182731,2,3.58,"E","PARKER",43.41,-97.06,4324600,973600
202406,191894,1182731,3,1.22,"SW","CHANCELLOR",43.36,-97,4321600,9700
202406,191894,1182731,4,0,"N","DAVIS",43.27,-96.98,4316200,9658800
202406,191894,1182731,5,2.01,"W","DAVIS",43.27,-97.02,4316200,971200
202406,191894,1182731,6,3.26,"SW","CHANCELLOR",43.34,-97.03,4320400,971800
202406,191894,1182732,1,2.01,"W","DAVIS",43.27,-97.02,4316200,971200
202406,191894,1182732,2,0,"N","DAVIS",43.27,-96.98,4316200,9658800
202406,191894,1182732,3,4.24,"SE","DAVIS",43.2241,-96.924,4313446,9655440
202406,191894,1182732,4,2.35,"E","CENTERVILLE",43.1257,-96.924,437542,9655440
202406,191894,1182732,5,2.05,"SE","CENTERVILLE",43.1,-96.94,436000,9656400
202406,191894,1182732,6,3.33,"WSW","CENTERVILLE",43.1,-97.03,436000,971800
202406,191894,1182733,1,3.33,"WSW","CENTERVILLE",43.1,-97.03,436000,971800
202406,191894,1182733,2,2.05,"SE","CENTERVILLE",43.1,-96.94,436000,9656400
202406,191894,1182733,3,3.02,"SE","CENTERVILLE",43.0837,-96.9367,435022,9656202
202406,191894,1182733,4,4,"SW","CENTERVILLE",43.0835,-97.0315,435010,971890
202406,191894,1182734,1,5.59,"NE","WAKONDA",43.0835,-97.0315,435010,971890
202406,191894,1182734,2,8.36,"NNW","DALESBURG",43.0837,-96.9367,435022,9656202
202406,191894,1182734,3,2.94,"SSW","HUB CITY",42.91,-96.9,4254600,9654000
202406,191894,1182734,4,1.47,"SSE","WESTERVILLE",42.91,-97.01,4254600,97600
202406,191894,1182734,5,1.71,"NE","WESTERVILLE",42.95,-97,4257000,9700
202406,191894,1182734,6,3.33,"ESE","WAKONDA",43,-97.04,4300,972400
202406,191894,1182735,1,1.47,"SSE","WESTERVILLE",42.91,-97.01,4254600,97600
202406,191894,1182735,2,2.94,"SSW","HUB CITY",42.91,-96.9,4254600,9654000
202406,191894,1182735,3,2.57,"SW","GREENFELD",42.85,-96.86,4251000,9651600
202406,191894,1182735,4,1.52,"E","VERMILLION",42.78,-96.89,4246800,9653400
202406,191894,1182735,5,1.71,"SW","BURBANK",42.73,-96.84,4243800,9650400
202406,191894,1182735,6,2.9,"SW","DAVIDSON ARPT",42.74,-96.96,4244400,9657600
202406,191894,1182736,1,1.22,"NE","VIBORG",43.18,-97.06,4310800,973600
202406,191894,1182736,2,1.22,"SW","HOOKER",43.19,-97.04,4311400,972400
202406,191894,1182736,3,0,"N","CENTERVILLE",43.12,-96.97,437200,9658200
202406,191894,1182736,4,1.71,"SW","CENTERVILLE",43.1,-96.99,436000,9659400
202406,191894,1182737,1,2.47,"W","WHITE",44.43,-96.7,4425800,9642000
202406,191894,1182737,2,1.7,"SW","WHITE",44.41,-96.67,4424600,9640200
202406,191894,1182737,3,1.98,"E","BROOKINGS",44.32,-96.74,4419200,9644400
202406,191894,1182737,4,1.47,"NNE","(BKX)BROOKINGS MUNI",44.32,-96.81,4419200,9648600
202406,191894,1182752,1,1.38,"S","MEDARY",44.2,-96.78,4412000,9646800
202406,191894,1182752,2,1.38,"N","MEDARY",44.24,-96.78,4414400,9646800
202406,191894,1182752,3,1.64,"ENE","AURORA",44.29,-96.65,4417400,9639000
202406,191894,1182752,4,3.98,"SSE","BUSHNELL",44.28,-96.59,4416800,9635400
202406,191894,1182752,5,4.91,"ESE","AURORA",44.25,-96.59,4415000,9635400
202406,191894,1182752,6,2.55,"SE","AURORA",44.25,-96.65,4415000,9639000
202406,191894,1182752,7,2.1,"ENE","MEDARY",44.23,-96.74,4413800,9644400
202406,191894,1182752,8,2.03,"SE","MEDARY",44.2,-96.75,4412000,9645000
202406,191894,1182793,1,2.07,"N","WORTHING",43.36,-96.77,4321600,9646200
202406,191894,1182793,2,3.15,"NNW","CANTON",43.34,-96.63,4320400,9637800
202406,191894,1182793,3,1.38,"N","CANTON",43.32,-96.6,4319200,9636000
202406,191894,1182793,4,1.71,"SE","CANTON",43.28,-96.58,4316800,9634800
202406,191894,1182793,5,2.13,"SSE","CANTON",43.27,-96.59,4316200,9635400
202404,188809,1161227,1,.9,"SW","HAPPY TOWN",33.99,-81.09,3359400,815400
202404,188809,1161228,1,0,"N","COLUMBIA",34,-81.02,3400,811200
202404,188809,1161229,1,.57,"E","COLUMBIA",34,-81.01,3400,81600
202404,188809,1161230,1,.96,"S","BALLTOWN",33.5661,-81.73,3333966,8143800
202404,188809,1161231,1,.62,"N","COLUMBIA",34.009,-81.021,34540,811260
202404,188809,1161232,1,0,"N","OWENS ARPT",33.97,-81,3358200,8100
202404,188809,1161233,1,.82,"N","(CAE)COLUMBIA METRO",33.9416,-81.1174,3356496,817044
202404,188810,1161234,1,.45,"WSW","AUGUSTA DANIEL ARPT",33.467,-82.0369,3328020,822214
202404,188811,1161235,1,.61,"S","JERNIGAN TOWN",36.5112,-86.6795,3630672,8640770
